LetterPairIndex,Letter Pair,BC1989 SimRate Upper,BC 1989 SimRate Lower,PG 1979 DiffRate Avg,PG1979 RT Avg,KB FeatDist,g1979Confus,ggm1983ConfusA,ggm1983ConfusB,Popp1964ConfusLower,BR1969ConfusLower,BR1968ConfusUpper,Lewand 2000 FreqDiff,Lewand 2000 FreqSum,Lewand FreqDiff/FreqSum,Ordinality Diff,OrdinalitySum,Ordinality Diff/Sum,EaglemanDistances
293,RV,1.67,2.29,4.45,467.5,2.828427125,0.007,0.015,0.02,4,0,0,0.05009,0.06965,0.719167265,4,40,0.1,0.65437
294,RW,2.125,1.83,4.15,432.5,3.16227766,0.033,0.005,0.01,2,0,1,0.03627,0.08347,0.434527375,5,41,0.12195122,0.6813
295,RX,2.17,2.21,3.45,445,2.828427125,0.0365,0.015,0.03,1,1,0,0.05837,0.06137,0.951116181,6,42,0.142857143,0.6252
296,RY,1.915,2.205,4.15,446,3,0.0055,0.005,0.02,4,2,0,0.04013,0.07961,0.504082402,7,43,0.162790698,0.82113
297,RZ,2.21,2.29,4.1,446,2.449489743,0.017,0.025,0.01,2,0,0,0.05913,0.06061,0.975581587,8,44,0.181818182,0.66825
298,ST,1.75,1.915,4.55,442,2.236067977,0.007,0.005,0.005,1,0,0,0.02729,0.15383,0.177403627,1,39,0.025641026,0.78309
299,SU,2.12,2.04,3.9,446.5,2.449489743,0.008,0.01,0.005,2,0,0,0.03569,0.09085,0.392845349,2,40,0.05,0.76037
300,SV,1.67,2,4.1,432.5,2.449489743,0.0125,0.005,0.015,2,0,0,0.05349,0.07305,0.732238193,3,41,0.073170732,0.76752
301,SW,1.79,2.42,4.4,450.5,2.828427125,0.0045,0.02,0,1,1,0,0.03967,0.08687,0.456659376,4,42,0.095238095,0.79436
302,SX,2.25,2.085,3.6,441,2.828427125,0.012,0.025,0.01,1,0,0,0.06177,0.06477,0.95368226,5,43,0.11627907,0.77558
303,SY,1.915,2.04,4.6,454,2.645751311,0.008,0.015,0.01,1,0,0,0.04353,0.08301,0.524394651,6,44,0.136363636,0.73527
304,SZ,2.915,3.205,3.2,449.5,1.414213562,0.0195,0.095,0.095,3,0,0,0.06253,0.06401,0.976878613,7,45,0.155555556,0.75739
305,TU,2.04,1.92,4.35,449.5,2.236067977,0.002,0.015,0.015,6,0,0,0.06298,0.11814,0.533096326,1,41,0.024390244,0.73546
306,TV,1.92,2.08,3.95,425,2.236067977,0.004,0.01,0,3,0,0,0.08078,0.10034,0.805062787,2,42,0.047619048,0.6669
307,TW,1.915,1.75,4,449,2.236067977,0.001,0.03,0.03,0,0,0,0.06696,0.11416,0.5865452,3,43,0.069767442,0.71573
308,TX,1.835,1.83,4,451,2.645751311,0.0025,0,0.02,4,0,1,0.08906,0.09206,0.967412557,4,44,0.090909091,0.6623
309,TY,2.495,1.92,2.15,489,2,0.0265,0.045,0.05,4,2,1,0.07082,0.1103,0.64206709,5,45,0.111111111,0.78161
310,TZ,2.165,1.995,3.4,439.5,1.732050808,0.007,0.01,0.01,2,1,1,0.08982,0.0913,0.983789704,6,46,0.130434783,0.6495
311,UV,3.665,4,1,579,2,0.0415,0.065,0.055,4,1,0,0.0178,0.03736,0.476445396,1,43,0.023255814,0.642
312,UW,3,3.495,2.2,452.5,1.414213562,0.0345,0.065,0.08,2,1,0,0.00398,0.05118,0.077764752,2,44,0.045454545,0.68303
313,UX,2.12,2.165,3.95,435,2.449489743,0.009,0.005,0.005,1,0,0,0.02608,0.02908,0.896836314,3,45,0.066666667,0.75032
314,UY,2.79,3.79,2.9,460,2.236067977,0.0035,0.01,0.01,3,0,1,0.00784,0.04732,0.165680473,4,46,0.086956522,0.64037
315,UZ,2.375,2.29,4.55,445.5,2.449489743,0.0025,0.01,0,4,0,0,0.02684,0.02832,0.947740113,5,47,0.106382979,0.75109
316,VW,2.875,3.165,1.7,464.5,1.414213562,0.0195,0.04,0.015,1,0,0,0.01382,0.03338,0.414020371,1,45,0.022222222,0.61678
317,VX,2.875,2.705,2.6,452.5,1.414213562,0.012,0.065,0.03,3,1,1,0.00828,0.01128,0.734042553,2,46,0.043478261,0.61403
318,VY,3.585,3.375,2.1,472.5,1,0.113,0.16,0.185,4,3,0,0.00996,0.02952,0.337398374,3,47,0.063829787,0.69145
319,VZ,2,2.085,4,463.5,2,0.011,0.015,0.01,1,1,0,0.00904,0.01052,0.859315589,4,48,0.083333333,0.61575
320,WX,2.54,1.875,2.9,464.5,2,0.022,0.01,0.01,2,1,1,0.0221,0.0251,0.880478088,1,47,0.021276596,0.64339
321,WY,2.625,2.5,2.8,456,1.732050808,0.004,0.02,0.02,1,1,0,0.00386,0.04334,0.089063221,2,48,0.041666667,0.7559
322,WZ,1.995,2.62,3.3,459,2.449489743,0.0045,0.015,0.02,1,0,0,0.02286,0.02434,0.939194741,3,49,0.06122449,0.69568
323,XY,2.915,2.04,1.8,469,1.732050808,0.0105,0.115,0.07,1,1,1,0.01824,0.02124,0.858757062,1,49,0.020408163,0.78718
324,XZ,2.17,2.5,2.4,448.5,2.449489743,0.022,0.04,0.025,2,0,1,0.00076,0.00224,0.339285714,2,50,0.04,0.52253
325,YZ,1.75,2.125,3.95,452,2.236067977,0.006,0.02,0.03,2,0,0,0.019,0.02048,0.927734375,1,51,0.019607843,0.81873
