LetterPairIndex,Letter Pair,BC1989 SimRate Upper,BC 1989 SimRate Lower,PG 1979 DiffRate Avg,PG1979 RT Avg,KB FeatDist,g1979Confus,ggm1983ConfusA,ggm1983ConfusB,Popp1964ConfusLower,BR1969ConfusLower,BR1968ConfusUpper,Lewand 2000 FreqDiff,Lewand 2000 FreqSum,Lewand FreqDiff/FreqSum,Ordinality Diff,OrdinalitySum,Ordinality Diff/Sum,EaglemanDistances
72,CZ,1.915,2.58,4.15,424,2,0.0285,0.005,0.02,0,0,1,0.02708,0.02856,0.948179272,23,29,0.793103448,0.84646
73,DE,2.87,2.29,3,452,2,0.022,0.02,0.025,2,1,0,0.08449,0.16955,0.49831908,1,9,0.111111111,0.7687
74,DF,2.335,2,3.65,445,2,0.01,0.005,0.01,2,0,0,0.02025,0.06481,0.312451782,2,10,0.2,0.68539
75,DG,2.79,3.25,2.65,458,2,0.0525,0.01,0.045,1,0,1,0.02238,0.06268,0.357051691,3,11,0.272727273,0.58072
76,DH,2.165,3.08,3.8,452,2.828427125,0.005,0.01,0,5,2,0,0.01841,0.10347,0.177925969,4,12,0.333333333,0.70259
77,DI,2.125,1.83,4.1,458,2.449489743,0.007,0.005,0.025,0,2,0,0.02713,0.11219,0.241821909,5,13,0.384615385,0.93772
78,DJ,2.205,2.08,3.65,432.5,2.236067977,0.0035,0.015,0.03,1,0,0,0.041,0.04406,0.930549251,6,14,0.428571429,0.6646
79,DK,1.915,2.205,3.75,426.5,2.236067977,0.0065,0.005,0.03,0,0,0,0.03481,0.05025,0.692736318,7,15,0.466666667,0.72208
80,DL,2.5,2.205,2.95,441,2.236067977,0.0095,0.025,0.02,3,0,0,0.00228,0.08278,0.027542885,8,16,0.5,0.77898
81,DM,2.08,1.835,4.25,436.5,2.828427125,0.0065,0.005,0.015,2,0,0,0.01847,0.06659,0.277368974,9,17,0.529411765,0.69796
82,DN,2.25,1.96,4,442,2.828427125,0.007,0,0.025,1,0,0,0.02496,0.11002,0.226867842,10,18,0.555555556,0.66642
83,DO,3.21,2.91,1,506,1.414213562,0.1065,0.075,0.1,3,0,0,0.03254,0.1176,0.27670068,11,19,0.578947368,0.85422
84,DP,2.875,3.165,1.9,454,2,0.036,0.03,0.015,7,3,0,0.02324,0.06182,0.37593012,12,20,0.6,0.66963
85,DQ,2.92,3.665,1.95,487.5,1.414213562,0.0395,0.02,0.055,4,6,1,0.04158,0.04348,0.956301748,13,21,0.619047619,0.65377
86,DR,2.205,2.58,2.85,441,2.449489743,0.023,0.02,0.025,1,0,0,0.01734,0.1024,0.169335938,14,22,0.636363636,0.63861
87,DS,1.795,2.04,3.75,446,2,0.02,0.01,0.035,3,0,1,0.02074,0.1058,0.196030246,15,23,0.652173913,0.79093
88,DT,2.205,2.335,4.15,448.5,2.645751311,0.0075,0.01,0.015,0,0,0,0.04803,0.13309,0.360883613,16,24,0.666666667,0.67459
89,DU,2.5,2.29,2.25,441.5,2.449489743,0.0235,0.045,0.02,3,0,0,0.01495,0.07011,0.213236343,17,25,0.68,0.72169
90,DV,2.04,1.875,3.45,436,2.828427125,0.024,0.005,0.02,2,0,0,0.03275,0.05231,0.62607532,18,26,0.692307692,0.63122
91,DW,1.875,1.54,4.35,435,2.828427125,0.004,0.01,0.015,4,0,0,0.01893,0.06613,0.286254347,19,27,0.703703704,0.69853
92,DX,1.75,1.58,4.6,429.5,2.828427125,0.006,0.005,0.005,3,1,0,0.04103,0.04403,0.931864638,20,28,0.714285714,0.6588
93,DY,1.875,2.33,4.25,444.5,3,0.0025,0.005,0.005,0,1,0,0.02279,0.06227,0.365986832,21,29,0.724137931,0.82055
94,DZ,2,1.415,4.8,447,2.449489743,0.011,0,0.03,2,0,0,0.04179,0.04327,0.965796164,22,30,0.733333333,0.66468
95,EF,3.67,2.12,1,478.5,1.414213562,0.041,0.045,0.065,3,0,1,0.10474,0.1493,0.701540522,1,11,0.090909091,0.67778
96,EG,2.54,2.665,3.4,452,1.414213562,0.0515,0.01,0.035,1,1,0,0.10687,0.14717,0.726167018,2,12,0.166666667,0.72323
97,EH,2.585,1.995,2.7,451,2.449489743,0.0065,0.005,0.02,2,1,0,0.06608,0.18796,0.351564163,3,13,0.230769231,0.75092
98,EI,2.375,1.54,2.85,438,2,0.015,0.045,0.03,2,0,1,0.05736,0.19668,0.291641245,4,14,0.285714286,0.87372
99,EJ,2.33,1.71,4.5,436,2.236067977,0.002,0,0.02,0,0,0,0.12549,0.12855,0.976196033,5,15,0.333333333,0.77957
100,EK,2.415,1.625,2.65,442,2.236067977,0.0405,0.025,0.015,2,0,1,0.1193,0.13474,0.885408936,6,16,0.375,0.75744
101,EL,2.875,1.5,1.75,465,1.732050808,0.0325,0.095,0.105,1,0,0,0.08677,0.16727,0.518742153,7,17,0.411764706,0.77892
102,EM,2.5,2,3.7,458,2.828427125,0.0035,0,0.01,1,0,0,0.10296,0.15108,0.681493249,8,18,0.444444444,0.79148
103,EN,2.21,2.245,3.65,455.5,2.828427125,0.0035,0.005,0.005,2,1,1,0.05953,0.19451,0.306051103,9,19,0.473684211,0.78605
104,EO,2.17,3.25,4.25,432,2.449489743,0.006,0.005,0.005,1,2,1,0.05195,0.20209,0.257063684,10,20,0.5,0.91772
105,EP,2.915,2.665,2.8,444.5,2,0.014,0.02,0.01,1,0,0,0.10773,0.14631,0.736313307,11,21,0.523809524,0.78528
106,EQ,1.915,2.25,4.5,447,2.449489743,0.0115,0,0.03,2,0,0,0.12607,0.12797,0.98515277,12,22,0.545454545,0.77558
107,ER,2.665,2.915,3.15,450,2.449489743,0.0345,0.015,0.01,2,0,1,0.06715,0.18689,0.359302263,13,23,0.565217391,0.78016
108,ES,2.665,2.875,3.85,447,2,0.0265,0.03,0.015,4,0,0,0.06375,0.19029,0.335014977,14,24,0.583333333,0.82533
109,ET,2.42,1.75,2.45,448,2.236067977,0.0055,0.035,0.03,3,0,0,0.03646,0.21758,0.167570549,15,25,0.6,0.7617
110,EU,2.42,2.66,4.45,444,2.828427125,0.01,0.015,0.005,4,0,0,0.09944,0.1546,0.643208279,16,26,0.615384615,0.78755
111,EV,1.875,1.92,4.3,438,2.828427125,0.0055,0.015,0.02,1,0,0,0.11724,0.1368,0.857017544,17,27,0.62962963,0.75739
112,EW,2.42,1.75,3.8,461.5,2.828427125,0.0035,0.005,0.015,3,0,0,0.10342,0.15062,0.686628602,18,28,0.642857143,0.73254
113,EX,2.165,1.955,3.9,439.5,2.828427125,0.0095,0.015,0.005,2,0,1,0.12552,0.12852,0.97665733,19,29,0.655172414,0.75732
114,EY,1.625,1.87,4.3,438.5,3,0.0035,0.02,0.005,0,0,1,0.10728,0.14676,0.73098937,20,30,0.666666667,0.76551
115,EZ,2.75,2.71,3.4,435,2,0.033,0.025,0.075,2,0,0,0.12628,0.12776,0.98841578,21,31,0.677419355,0.80278
116,FG,2.29,2.25,3.75,455.5,1.414213562,0.0125,0.005,0.02,2,0,0,0.00213,0.04243,0.05020033,1,13,0.076923077,0.64664
117,FH,2.33,2,2.45,458.5,2.449489743,0.0055,0.015,0.025,1,0,1,0.03866,0.08322,0.46455179,2,14,0.142857143,0.64212
118,FI,2.67,1.92,2.4,459,2.449489743,0.0095,0.08,0.03,2,3,1,0.04738,0.09194,0.515336089,3,15,0.2,0.87631
119,FJ,1.875,2.625,4.25,473.5,2.236067977,0.0005,0,0.015,3,0,1,0.02075,0.02381,0.87148257,4,16,0.25,0.68803
120,FK,2.25,1.625,3.1,475,2.236067977,0.0275,0.02,0.02,1,1,0,0.01456,0.03,0.485333333,5,17,0.294117647,0.66413
121,FL,2.585,2.54,2.6,461,1.732050808,0.0015,0.035,0.04,1,0,0,0.01797,0.06253,0.287382057,6,18,0.333333333,0.71959
122,FM,2.125,1.835,3.85,471.5,2.449489743,0.008,0.005,0.02,3,0,0,0.00178,0.04634,0.038411739,7,19,0.368421053,0.69748
123,FN,2.04,1.875,3.9,442,2.449489743,0.0035,0.01,0.015,2,1,0,0.04521,0.08977,0.503620363,8,20,0.4,0.67291
124,FO,1.955,1.46,4.45,435,2.449489743,0.0025,0,0.005,0,0,0,0.05279,0.09735,0.542270159,9,21,0.428571429,0.88658
125,FP,3.415,1.83,1.65,460,1.414213562,0.159,0.07,0.105,1,0,1,0.00299,0.04157,0.07192687,10,22,0.454545455,0.70291
126,FQ,2.04,1.835,4.4,433.5,2,0.0035,0,0.015,4,1,0,0.02133,0.02323,0.918209212,11,23,0.47826087,0.69502
127,FR,2.91,2.5,2.45,446.5,2,0.0395,0.04,0.055,3,0,0,0.03759,0.08215,0.457577602,12,24,0.5,0.65472
128,FS,1.96,1.915,4.15,435,2,0.0135,0.01,0.01,3,0,0,0.04099,0.08555,0.479135009,13,25,0.52,0.76432
129,FT,2.71,3.21,2.15,458,2.236067977,0.0205,0.045,0.045,3,1,1,0.06828,0.11284,0.605104573,14,26,0.538461538,0.66894
130,FU,2.04,1.75,4.45,450,2.449489743,0.002,0.005,0.03,1,0,0,0.0053,0.04986,0.106297633,15,27,0.555555556,0.72913
131,FV,1.71,1.915,4.15,447,2.449489743,0.004,0.005,0.015,2,0,1,0.0125,0.03206,0.389893949,16,28,0.571428571,0.65907
132,FW,1.835,1.75,3.85,442,2.449489743,0.003,0,0.015,2,0,0,0.00132,0.04588,0.028770706,17,29,0.586206897,0.67024
133,FX,1.705,1.46,3.8,459.5,2.828427125,0.0045,0,0.02,2,0,0,0.02078,0.02378,0.873843566,18,30,0.6,0.66255
134,FY,1.96,1.79,3.65,440.5,2.645751311,0.0055,0.01,0.015,1,1,0,0.00254,0.04202,0.060447406,19,31,0.612903226,0.74363
135,FZ,2.5,1.665,3.75,458.5,2,0.011,0.01,0.01,1,1,0,0.02154,0.02302,0.93570808,20,32,0.625,0.70712
136,GH,2.205,1.915,4,471.5,2.828427125,0.01,0,0.015,2,1,0,0.04079,0.08109,0.503021334,1,15,0.066666667,0.66036
137,GI,2,1.875,4.3,440,2.449489743,0.0015,0.015,0.015,2,0,0,0.04951,0.08981,0.551274914,2,16,0.125,0.92141
138,GJ,2.04,2.745,3.75,450,1.732050808,0.009,0.01,0.01,1,0,0,0.01862,0.02168,0.858856089,3,17,0.176470588,0.64901
139,GK,1.875,1.875,4.25,444,2.645751311,0.0135,0.005,0.025,2,0,1,0.01243,0.02787,0.445999282,4,18,0.222222222,0.68904
140,GL,2.04,1.665,3.55,445.5,1.732050808,0.013,0.005,0.015,1,0,0,0.0201,0.0604,0.332781457,5,19,0.263157895,0.77122
141,GM,1.915,2.205,4.45,435,2.828427125,0.007,0.01,0.02,1,1,0,0.00391,0.04421,0.088441529,6,20,0.3,0.66478
142,GN,1.875,1.955,4.4,448.5,2.828427125,0.013,0.005,0.01,0,0,0,0.04734,0.08764,0.540164309,7,21,0.333333333,0.65885
143,GO,3.58,2.455,2.05,465.5,2.449489743,0.1125,0.105,0.03,3,0,0,0.05492,0.09522,0.576769586,8,22,0.363636364,0.87739
144,GP,2.455,3.205,3.55,458.5,1.414213562,0.0135,0.005,0.02,4,0,0,0.00086,0.03944,0.021805274,9,23,0.391304348,0.6902
145,GQ,3.33,4.42,1.65,477.5,2,0.112,0.03,0.045,3,0,0,0.0192,0.0211,0.909952607,10,24,0.416666667,0.63714
146,GR,2.245,2.085,3.6,447,2,0.035,0.005,0.03,1,0,0,0.03972,0.08002,0.496375906,11,25,0.44,0.62795
147,GS,2.415,2.245,3.1,458,1.414213562,0.0805,0.01,0.055,0,1,0,0.04312,0.08342,0.516902421,12,26,0.461538462,0.74195
148,GT,1.875,2.04,4.2,457,2.236067977,0.0055,0.015,0.005,0,1,0,0.07041,0.11071,0.635985909,13,27,0.481481481,0.64642
149,GU,2.33,2.165,3.05,449.5,2.449489743,0.0245,0.02,0.02,0,0,0,0.00743,0.04773,0.155667295,14,28,0.5,0.71811
150,GV,1.875,1.875,4.2,463.5,2.828427125,0.0085,0.005,0.03,1,1,0,0.01037,0.02993,0.346475109,15,29,0.517241379,0.65477
151,GW,2,1.75,4.65,449.5,2.828427125,0.0105,0.005,0.03,1,0,0,0.00345,0.04375,0.078857143,16,30,0.533333333,0.67306
152,GX,1.71,1.75,4.6,450,3.16227766,0.008,0.015,0.005,2,1,0,0.01865,0.02165,0.861431871,17,31,0.548387097,0.6403
153,GY,1.665,3.745,4.6,452,3,0.004,0.015,0.02,1,0,0,0.00041,0.03989,0.010278265,18,32,0.5625,0.77571
154,GZ,2.25,1.75,4.4,450,2,0.017,0.01,0.005,1,0,0,0.01941,0.02089,0.929152705,19,33,0.575757576,0.64291
155,HI,2.71,1.835,2.9,458.5,2.449489743,0.0045,0.02,0.025,3,1,0,0.00872,0.1306,0.06676876,1,17,0.058823529,0.82074
156,HJ,2.04,2.125,4.3,456,3,0.0055,0.02,0.03,3,0,0,0.05941,0.06247,0.951016488,2,18,0.111111111,0.68325
157,HK,2.415,3.29,2.6,469.5,2.236067977,0.0355,0.02,0.025,4,1,2,0.05322,0.06866,0.775123798,3,19,0.157894737,0.65688
158,HL,2.83,2,3,433,3,0.0045,0.025,0.02,2,0,0,0.02069,0.10119,0.204466845,4,20,0.2,0.72486
159,HM,2.375,2.29,1.85,504,2,0.227,0.06,0.13,2,0,0,0.03688,0.085,0.433882353,5,21,0.238095238,0.69994
160,HN,2.54,3.415,1.75,488,2,0.2045,0.055,0.16,5,3,1,0.00655,0.12843,0.051000545,6,22,0.272727273,0.60173
161,HO,1.875,1.955,4.35,441,2.449489743,0.0075,0.015,0.015,1,0,0,0.01413,0.13601,0.10388942,7,23,0.304347826,0.86055
162,HP,2.58,2.54,3.5,438.5,2.828427125,0.009,0.015,0.02,0,0,0,0.04165,0.08023,0.519132494,8,24,0.333333333,0.70304
163,HQ,1.875,2.205,4.4,443,2.828427125,0.0085,0.01,0.02,4,1,0,0.05999,0.06189,0.969300372,9,25,0.36,0.73076
164,HR,2.33,3.375,3.25,453,2.828427125,0.0335,0.035,0.02,0,1,0,0.00107,0.12081,0.008856883,10,26,0.384615385,0.69178
165,HS,2,1.54,4.35,445.5,3.16227766,0.0055,0.01,0.02,1,0,0,0.00233,0.12421,0.018758554,11,27,0.407407407,0.73884
166,HT,2.495,2.04,3.3,458,2.645751311,0.0035,0.005,0.005,1,0,0,0.02962,0.1515,0.195511551,12,28,0.428571429,0.68188
167,HU,2.5,3.12,3.3,462.5,2,0.0245,0.025,0.03,6,6,1,0.03336,0.08852,0.376863986,13,29,0.448275862,0.67979
168,HV,2.29,2.375,3.5,462.5,2.449489743,0.0125,0.03,0.005,1,0,0,0.05116,0.07072,0.72341629,14,30,0.466666667,0.66489
169,HW,2.58,1.75,2.5,515.5,2,0.2205,0.005,0.125,0,0,2,0.03734,0.08454,0.44168441,15,31,0.483870968,0.70749
170,HX,2.71,1.665,2.85,442,2,0.0325,0.01,0.02,1,0,0,0.05944,0.06244,0.951953876,16,32,0.5,0.70083
171,HY,2.375,2.58,3.6,462.5,2.645751311,0.0015,0.015,0.02,5,0,1,0.0412,0.08068,0.510659395,17,33,0.515151515,0.66099
172,HZ,2.125,1.79,3.5,441,2.828427125,0.006,0.03,0.005,0,0,0,0.0602,0.06168,0.976005188,18,34,0.529411765,0.71844
173,IJ,2.875,3.54,2,465,1.732050808,0.012,0.06,0.035,3,2,3,0.06813,0.07119,0.957016435,1,19,0.052631579,0.77606
174,IK,2.415,1.75,3.2,445,2.645751311,0.0115,0.015,0.045,2,0,0,0.06194,0.07738,0.800465236,2,20,0.1,0.88619
175,IL,2.705,3.79,1.3,476.5,1.732050808,0.013,0.18,0.085,6,2,2,0.02941,0.10991,0.267582568,3,21,0.142857143,0.72555
